order,id,date,time,title,url,visitCount,typedCount,transition
0,848,11/1/2020,15:16:08,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related?hl=en,1,0,link
1,847,11/1/2020,15:15:50,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en,1,0,link
2,846,11/1/2020,15:15:40,history export google chrome - Google Search,https://www.google.com/search?q=history+export+google+chrome&rlz=1C1CHBD_enKE900KE900&oq=history+export&aqs=chrome.2.69i57j0l2j0i22i30l5.6468j0j9&sourceid=chrome&ie=UTF-8,1,0,generated
3,845,11/1/2020,15:15:12,can i save my history from chrome bookmarks to a file - Google Search,https://www.google.com/search?q=can+i+save+my+history+from+chrome+bookmarks+to+a+file&rlz=1C1CHBD_enKE900KE900&oq=can+i+save+my+history+from+chrome+&aqs=chrome.3.69i57j33i22i29i30l7.18115j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
4,844,11/1/2020,15:09:33,image of dog and cat - Google Search,https://www.google.com/search?q=image+of+dog+and+cat&tbm=isch&ved=2ahUKEwjt0-X2p-HsAhVEwoUKHTF_AawQ2-cCegQIABAA&oq=image+of+dog+and+&gs_lcp=CgNpbWcQARgDMgIIADICCAAyAggAMgIIADIGCAAQCBAeOgcIIxDqAhAnOgQIIxAnOgQIABBDOgUIABCxAzoHCAAQsQMQQzoECAAQGFD_LVjseWCRjgFoAXAAeACAAfEDiAGKMpIBBjMtMTEuNpgBAKABAaoBC2d3cy13aXotaW1nsAEKwAEB&sclient=img&ei=XqWeX-2sL8SElwSx_oXgCg&bih=608&biw=1364&rlz=1C1CHBD_enKE900KE900#imgrc=204LlQFXnp1OEM,1,0,link
5,843,11/1/2020,15:09:23,image of dog and cat - Google Search,https://www.google.com/search?q=image+of+dog+and+cat&tbm=isch&ved=2ahUKEwjt0-X2p-HsAhVEwoUKHTF_AawQ2-cCegQIABAA&oq=image+of+dog+and+&gs_lcp=CgNpbWcQARgDMgIIADICCAAyAggAMgIIADIGCAAQCBAeOgcIIxDqAhAnOgQIIxAnOgQIABBDOgUIABCxAzoHCAAQsQMQQzoECAAQGFD_LVjseWCRjgFoAXAAeACAAfEDiAGKMpIBBjMtMTEuNpgBAKABAaoBC2d3cy13aXotaW1nsAEKwAEB&sclient=img&ei=XqWeX-2sL8SElwSx_oXgCg&bih=608&biw=1364&rlz=1C1CHBD_enKE900KE900,2,0,link
6,843,11/1/2020,15:09:22,image of dog and cat - Google Search,https://www.google.com/search?q=image+of+dog+and+cat&tbm=isch&ved=2ahUKEwjt0-X2p-HsAhVEwoUKHTF_AawQ2-cCegQIABAA&oq=image+of+dog+and+&gs_lcp=CgNpbWcQARgDMgIIADICCAAyAggAMgIIADIGCAAQCBAeOgcIIxDqAhAnOgQIIxAnOgQIABBDOgUIABCxAzoHCAAQsQMQQzoECAAQGFD_LVjseWCRjgFoAXAAeACAAfEDiAGKMpIBBjMtMTEuNpgBAKABAaoBC2d3cy13aXotaW1nsAEKwAEB&sclient=img&ei=XqWeX-2sL8SElwSx_oXgCg&bih=608&biw=1364&rlz=1C1CHBD_enKE900KE900,2,0,link
7,842,11/1/2020,15:09:03,images with many objects - Google Search,https://www.google.com/search?q=images+with+many+objects&tbm=isch&ved=2ahUKEwjJuebvp-HsAhWOw4UKHZkdBpoQ2-cCegQIABAA&oq=images+with+many+&gs_lcp=CgNpbWcQARgAMgIIADICCAAyAggAOgcIIxDqAhAnOgQIIxAnOgQIABBDOgUIABCxAzoHCAAQsQMQQzoGCAAQBRAeUOATWJ9XYIlnaAFwAHgCgAHJBIgB2EOSAQgzLTE2LjUuMpgBAKABAaoBC2d3cy13aXotaW1nsAEKwAEB&sclient=img&ei=UKWeX8nRBo6HlwSZu5jQCQ&bih=608&biw=1364&rlz=1C1CHBD_enKE900KE900,2,0,link
8,842,11/1/2020,15:09:02,images with many objects - Google Search,https://www.google.com/search?q=images+with+many+objects&tbm=isch&ved=2ahUKEwjJuebvp-HsAhWOw4UKHZkdBpoQ2-cCegQIABAA&oq=images+with+many+&gs_lcp=CgNpbWcQARgAMgIIADICCAAyAggAOgcIIxDqAhAnOgQIIxAnOgQIABBDOgUIABCxAzoHCAAQsQMQQzoGCAAQBRAeUOATWJ9XYIlnaAFwAHgCgAHJBIgB2EOSAQgzLTE2LjUuMpgBAKABAaoBC2d3cy13aXotaW1nsAEKwAEB&sclient=img&ei=UKWeX8nRBo6HlwSZu5jQCQ&bih=608&biw=1364&rlz=1C1CHBD_enKE900KE900,2,0,link
9,841,11/1/2020,15:08:48,objects - Google Search,https://www.google.com/search?q=objects&tbm=isch&ved=2ahUKEwiZjojsp-HsAhUKlBoKHb07Ah4Q2-cCegQIABAA&oq=objects&gs_lcp=CgNpbWcQAzICCAAyAggAMgIIADICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6BAgjECc6BAgAEENQkxlYoytg0TFoAHAAeACAAZAGiAHAIJIBCTMtOS4xLjAuMZgBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=SKWeX5nKEIqoar33iPAB&bih=608&biw=1364&rlz=1C1CHBD_enKE900KE900,2,0,link
10,841,11/1/2020,15:08:47,objects - Google Search,https://www.google.com/search?q=objects&tbm=isch&ved=2ahUKEwiZjojsp-HsAhUKlBoKHb07Ah4Q2-cCegQIABAA&oq=objects&gs_lcp=CgNpbWcQAzICCAAyAggAMgIIADICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6BAgjECc6BAgAEENQkxlYoytg0TFoAHAAeACAAZAGiAHAIJIBCTMtOS4xLjAuMZgBAKABAaoBC2d3cy13aXotaW1nwAEB&sclient=img&ei=SKWeX5nKEIqoar33iPAB&bih=608&biw=1364&rlz=1C1CHBD_enKE900KE900,2,0,link
