order,id,date,time,title,url,visitCount,typedCount,transition
0,732,11/1/2020,21:42:18,Pandas basic | Kaggle,https://www.kaggle.com/fingofing/pandas-basic,3,0,link
1,752,11/1/2020,21:42:18,Line Charts | Kaggle,https://www.kaggle.com/fingofing/line-charts/edit,2,0,link
2,1014,11/1/2020,21:39:17,Is there a way to track the amount of time I spend on each website in my browser? - Quora,https://www.quora.com/Is-there-a-way-to-track-the-amount-of-time-I-spend-on-each-website-in-my-browser,1,0,link
3,1013,11/1/2020,21:39:14,how do i get the amount of time i spent on each website - Google Search,https://www.google.com/search?rlz=1C1CHBD_enKE900KE900&sxsrf=ALeKk03UbwMYgjiSF-ToV8wCbf88Y3QDJQ%3A1604255913563&ei=qQCfX9P_Ie7O1fAPwr-IyA0&q=how+do+i+get+the+amount+of+time+i+spent+on+each+website&oq=how+do+i+get+the+amount+of+time+i+spent+on+each+website&gs_lcp=CgZwc3ktYWIQAzIFCCEQoAE6BAgAEEc6BAgjECc6CAgAEMkDEJECOgUIABCRAjoECAAQQzoICAAQsQMQgwE6BQgAELEDOgQIABADOgcIABDJAxBDOgQILhBDOgIIADoHCC4QsQMQQzoFCAAQyQM6AgguOgYIABAWEB46CQgAEMkDEBYQHjoICAAQCBANEB46CAgAEBYQChAeOggIIRAWEB0QHjoECCEQFToHCCEQChCgAVDGFlj4kQFgv5gBaAJwBHgAgAGuBogBt8UBkgEMMy0yMS4yNC4xMS4xmAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab&ved=0ahUKEwiT-Oz-_uHsAhVuZxUIHcIfAtkQ4dUDCA0&uact=5,2,0,link
4,1013,11/1/2020,21:39:14,how do i get the amount of time i spent on each website - Google Search,https://www.google.com/search?rlz=1C1CHBD_enKE900KE900&sxsrf=ALeKk03UbwMYgjiSF-ToV8wCbf88Y3QDJQ%3A1604255913563&ei=qQCfX9P_Ie7O1fAPwr-IyA0&q=how+do+i+get+the+amount+of+time+i+spent+on+each+website&oq=how+do+i+get+the+amount+of+time+i+spent+on+each+website&gs_lcp=CgZwc3ktYWIQAzIFCCEQoAE6BAgAEEc6BAgjECc6CAgAEMkDEJECOgUIABCRAjoECAAQQzoICAAQsQMQgwE6BQgAELEDOgQIABADOgcIABDJAxBDOgQILhBDOgIIADoHCC4QsQMQQzoFCAAQyQM6AgguOgYIABAWEB46CQgAEMkDEBYQHjoICAAQCBANEB46CAgAEBYQChAeOggIIRAWEB0QHjoECCEQFToHCCEQChCgAVDGFlj4kQFgv5gBaAJwBHgAgAGuBogBt8UBkgEMMy0yMS4yNC4xMS4xmAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=psy-ab&ved=0ahUKEwiT-Oz-_uHsAhVuZxUIHcIfAtkQ4dUDCA0&uact=5,2,0,form_submit
5,1011,11/1/2020,21:38:53,what does web history contain - Google Search,https://www.google.com/search?rlz=1C1CHBD_enKE900KE900&sxsrf=ALeKk02qllplIW0ow61Pq-RIC8E5sQamwQ%3A1604255753580&ei=CQCfX_32IoSFmwe3uJTQBA&q=what+does+web+history+contain&oq=what+does+web+history+contain&gs_lcp=CgZwc3ktYWIQAzIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoECAAQRzoECCMQJzoICAAQyQMQkQI6BQgAEJECOgQIABBDOggIABCxAxCDAToFCAAQsQM6BwgAEBQQhwI6AggAOgsIABCxAxCDARDJAzoPCAAQyQMQFBCHAhBGEPkBOgoIABDJAxBGEPkBOgUIABDJAzoKCAAQyQMQFBCHAjoECAAQCjoMCAAQyQMQDRBGEPkBOgQIABANOgYIABANEB46CAgAEA0QChAeOgsIABDJAxAIEA0QHjoICAAQCBANEB5Q2XBYvbECYIS3AmgHcAR4AoAB0QqIAfaMAZIBDTMtOC4xMC4xNS4xLjGYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwi9n8iy_uHsAhWEwuYKHTccBUoQ4dUDCA0&uact=5,3,0,form_submit
6,1012,11/1/2020,21:38:40,Web browsing history - Wikipedia,"https://en.wikipedia.org/wiki/Web_browsing_history#:~:text=Within%20the%20realm%20of%20computing,a%20certain%20period%20of%20time.",1,0,link
7,1011,11/1/2020,21:38:33,what does web history contain - Google Search,https://www.google.com/search?rlz=1C1CHBD_enKE900KE900&sxsrf=ALeKk02qllplIW0ow61Pq-RIC8E5sQamwQ%3A1604255753580&ei=CQCfX_32IoSFmwe3uJTQBA&q=what+does+web+history+contain&oq=what+does+web+history+contain&gs_lcp=CgZwc3ktYWIQAzIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoECAAQRzoECCMQJzoICAAQyQMQkQI6BQgAEJECOgQIABBDOggIABCxAxCDAToFCAAQsQM6BwgAEBQQhwI6AggAOgsIABCxAxCDARDJAzoPCAAQyQMQFBCHAhBGEPkBOgoIABDJAxBGEPkBOgUIABDJAzoKCAAQyQMQFBCHAjoECAAQCjoMCAAQyQMQDRBGEPkBOgQIABANOgYIABANEB46CAgAEA0QChAeOgsIABDJAxAIEA0QHjoICAAQCBANEB5Q2XBYvbECYIS3AmgHcAR4AoAB0QqIAfaMAZIBDTMtOC4xMC4xNS4xLjGYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwi9n8iy_uHsAhWEwuYKHTccBUoQ4dUDCA0&uact=5,3,0,link
8,1011,11/1/2020,21:38:33,what does web history contain - Google Search,https://www.google.com/search?rlz=1C1CHBD_enKE900KE900&sxsrf=ALeKk02qllplIW0ow61Pq-RIC8E5sQamwQ%3A1604255753580&ei=CQCfX_32IoSFmwe3uJTQBA&q=what+does+web+history+contain&oq=what+does+web+history+contain&gs_lcp=CgZwc3ktYWIQAzIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjIICCEQFhAdEB4yCAghEBYQHRAeMggIIRAWEB0QHjoECAAQRzoECCMQJzoICAAQyQMQkQI6BQgAEJECOgQIABBDOggIABCxAxCDAToFCAAQsQM6BwgAEBQQhwI6AggAOgsIABCxAxCDARDJAzoPCAAQyQMQFBCHAhBGEPkBOgoIABDJAxBGEPkBOgUIABDJAzoKCAAQyQMQFBCHAjoECAAQCjoMCAAQyQMQDRBGEPkBOgQIABANOgYIABANEB46CAgAEA0QChAeOgsIABDJAxAIEA0QHjoICAAQCBANEB5Q2XBYvbECYIS3AmgHcAR4AoAB0QqIAfaMAZIBDTMtOC4xMC4xNS4xLjGYAQCgAQGqAQdnd3Mtd2l6yAEIwAEB&sclient=psy-ab&ved=0ahUKEwi9n8iy_uHsAhWEwuYKHTccBUoQ4dUDCA0&uact=5,3,0,form_submit
9,1008,11/1/2020,21:37:52,what is typedCount when referring to web history - Google Search,https://www.google.com/search?q=what+is+typedCount+when+referring+to+web+history&rlz=1C1CHBD_enKE900KE900&oq=what+is+typedCount+when+referring+to+web+history&aqs=chrome..69i57j33i10i160.23599j0j7&sourceid=chrome&ie=UTF-8,3,0,generated
