order,id,date,time,title,url,visitCount,typedCount,transition
0,1072,11/2/2020,17:08:37,Titanic: Machine Learning from Disaster | Kaggle,https://www.kaggle.com/c/titanic/notebooks,2,0,link
1,1072,11/2/2020,17:08:37,Titanic: Machine Learning from Disaster | Kaggle,https://www.kaggle.com/c/titanic/notebooks,2,0,link
2,1071,11/2/2020,17:08:37,Titanic: Machine Learning from Disaster | Kaggle,https://www.kaggle.com/c/titanic,3,0,link
3,1071,11/2/2020,17:08:19,Titanic: Machine Learning from Disaster | Kaggle,https://www.kaggle.com/c/titanic,3,0,link
4,1071,11/2/2020,17:08:18,Titanic: Machine Learning from Disaster | Kaggle,https://www.kaggle.com/c/titanic,3,0,link
5,522,11/2/2020,17:08:02,Search | Kaggle,https://www.kaggle.com/search,7,0,link
6,701,11/2/2020,17:05:04,Run Data Science & Machine Learning Code Online | Kaggle,https://www.kaggle.com/notebooks,10,0,link
7,701,11/2/2020,17:05:04,Run Data Science & Machine Learning Code Online | Kaggle,https://www.kaggle.com/notebooks,10,0,link
8,701,11/2/2020,17:05:03,Run Data Science & Machine Learning Code Online | Kaggle,https://www.kaggle.com/notebooks,10,0,link
9,1062,11/2/2020,17:04:53,Basic Visualization and Clustering in Python | Kaggle,https://www.kaggle.com/fingofing/basic-visualization-and-clustering-in-python/edit,2,0,link
10,701,11/2/2020,17:04:40,Run Data Science & Machine Learning Code Online | Kaggle,https://www.kaggle.com/notebooks,10,0,link
11,701,11/2/2020,17:04:40,Run Data Science & Machine Learning Code Online | Kaggle,https://www.kaggle.com/notebooks,10,0,link
12,701,11/2/2020,17:04:40,Run Data Science & Machine Learning Code Online | Kaggle,https://www.kaggle.com/notebooks,10,0,link
13,1069,11/2/2020,17:04:05,Titanic Data Visualization and ML | Kaggle,https://www.kaggle.com/ravaliraj/titanic-data-visualization-and-ml,3,0,link
14,1070,11/2/2020,17:04:05,Titanic Data Visualization and ML | Kaggle,https://www.kaggle.com/ravaliraj/titanic-data-visualization-and-ml?rvi=1,1,0,link
15,1069,11/2/2020,17:02:46,Titanic Data Visualization and ML | Kaggle,https://www.kaggle.com/ravaliraj/titanic-data-visualization-and-ml,3,0,link
16,1069,11/2/2020,17:02:44,Titanic Data Visualization and ML | Kaggle,https://www.kaggle.com/ravaliraj/titanic-data-visualization-and-ml,3,0,link
17,1068,11/2/2020,17:02:38,kaggle titanic visualization - Google Search,https://www.google.com/search?q=kaggle+titanic+visualization&rlz=1C1CHBD_enKE900KE900&oq=kaggle+titanic+visua&aqs=chrome.1.69i57j0i22i30i457.22170j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
18,920,11/2/2020,16:58:45,web_history_analysis - Jupyter Notebook,http://localhost:8888/notebooks/anaconda3/envs/CS%20Dojo/web_history_analysis.ipynb,2,0,link
19,381,11/2/2020,16:58:35,anaconda3/envs/CS Dojo/,http://localhost:8888/tree/anaconda3/envs/CS%20Dojo,4,0,link
20,380,11/2/2020,16:58:32,anaconda3/envs/,http://localhost:8888/tree/anaconda3/envs,7,0,link
21,384,11/2/2020,16:58:30,anaconda3/envs/Dash tutorial/,http://localhost:8888/tree/anaconda3/envs/Dash%20tutorial,2,0,link
22,380,11/2/2020,16:58:28,anaconda3/envs/,http://localhost:8888/tree/anaconda3/envs,7,0,link
23,379,11/2/2020,16:58:25,anaconda3/,http://localhost:8888/tree/anaconda3,3,0,link
24,378,11/2/2020,16:58:22,Home Page - Select or create a notebook,http://localhost:8888/tree,3,0,link
25,1066,11/2/2020,16:58:20,Opening Jupyter Notebook,file:///C:/Users/User1/AppData/Roaming/jupyter/runtime/nbserver-11768-open.html,1,0,auto_toplevel
26,1044,11/2/2020,16:54:45,Step 4. Create and Run your first Django project - Help | PyCharm,https://www.jetbrains.com/help/pycharm/creating-and-running-your-first-django-project.html#create-project,2,0,link
27,1045,11/2/2020,16:54:44,Step 4. Create and Run your first Django project - Help | PyCharm,https://www.jetbrains.com/help/pycharm/creating-and-running-your-first-django-project.html#whats-inside,2,0,link
28,1065,11/2/2020,13:58:24,Python Command Line Arguments – Real Python,"https://realpython.com/python-command-line-arguments/#:~:text=Python%20exposes%20a%20mechanism%20to,value%20in%20your%20source%20code.",1,0,link
29,1064,11/2/2020,13:58:10,command line arguments in python - Google Search,https://www.google.com/search?q=command+line+arguments+in+python&rlz=1C1CHBD_enKE900KE900&oq=command+line+arguments&aqs=chrome.2.69i57j0j0i20i263j0l4j69i60.11003j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
30,1051,11/2/2020,13:56:33,"Glossary of common Machine Learning, Statistics and Data Science terms - Analytics Vidhya",https://www.analyticsvidhya.com/glossary-of-common-statistics-and-machine-learning-terms/,2,0,link
31,1063,11/2/2020,13:56:16,You searched for s - Analytics Vidhya,https://www.analyticsvidhya.com/?s=s,1,0,form_submit
32,1062,11/2/2020,13:53:47,Basic Visualization and Clustering in Python | Kaggle,https://www.kaggle.com/fingofing/basic-visualization-and-clustering-in-python/edit,2,0,link
33,1058,11/2/2020,13:53:32,Basic Visualization and Clustering in Python | Kaggle,https://www.kaggle.com/dhanyajothimani/basic-visualization-and-clustering-in-python,2,0,link
34,1058,11/2/2020,13:53:30,Basic Visualization and Clustering in Python | Kaggle,https://www.kaggle.com/dhanyajothimani/basic-visualization-and-clustering-in-python,2,0,link
35,1056,11/2/2020,13:53:18,data clustering with pandas - Google Search,https://www.google.com/search?q=data+clustering+with+pandas&rlz=1C1CHBD_enKE900KE900&oq=data+clustering+with+pandas&aqs=chrome..69i57j0i22i30i457.8069j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
36,1057,11/2/2020,13:52:07,K-means Clustering Python Example | by Cory Maklin | Towards Data Science,https://towardsdatascience.com/machine-learning-algorithms-part-9-k-means-example-in-python-f2ad05ed5203,1,0,link
37,1056,11/2/2020,13:51:33,data clustering with pandas - Google Search,https://www.google.com/search?q=data+clustering+with+pandas&rlz=1C1CHBD_enKE900KE900&oq=data+clustering+with+pandas&aqs=chrome..69i57j0i22i30i457.8069j0j7&sourceid=chrome&ie=UTF-8,2,0,generated
38,1055,11/2/2020,13:50:31,11 Reasons Why You Should Learn the Command Line,https://www.dataquest.io/blog/why-learn-the-command-line/,1,0,link
39,1053,11/2/2020,13:50:24,How to Learn Fast: 7 Science-Backed Study Tips for Learning New Skills,https://www.dataquest.io/blog/how-to-learn-fast-science-based-study-tips/,2,0,link
40,1054,11/2/2020,13:49:47,R vs Python for Data Analysis — An Objective Comparison,https://www.dataquest.io/blog/python-vs-r/,1,0,link
41,1053,11/2/2020,13:49:13,How to Learn Fast: 7 Science-Backed Study Tips for Learning New Skills,https://www.dataquest.io/blog/how-to-learn-fast-science-based-study-tips/,2,0,link
42,1052,11/2/2020,13:48:03,Data Science Terms and Jargon: A Glossary – Dataquest,https://www.dataquest.io/blog/data-science-glossary/,1,0,link
43,1051,11/2/2020,13:48:01,"Glossary of common Machine Learning, Statistics and Data Science terms - Analytics Vidhya",https://www.analyticsvidhya.com/glossary-of-common-statistics-and-machine-learning-terms/,2,0,link
44,1050,11/2/2020,13:47:52,glossary of words used in statistics for data analysis in pandas - Google Search,https://www.google.com/search?q=glossary+of+words+used+in+statistics+for+data+analysis+in+pandas&rlz=1C1CHBD_enKE900KE900&oq=glossary+of+words+used+in+statistics+for+data+analysis+in+pandas&aqs=chrome..69i57.38936j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
45,1049,11/2/2020,13:46:19,Time series / date functionality — pandas 1.1.4 documentation,https://pandas.pydata.org/pandas-docs/stable/user_guide/timeseries.html,1,0,link
46,1048,11/2/2020,13:46:16,time series in pandas dataframe - Google Search,https://www.google.com/search?q=time+series+in+pandas+dataframe&rlz=1C1CHBD_enKE900KE900&oq=time+series+in+pan&aqs=chrome.3.69i57j0i457j0i20i263j0j0i22i30l4.10961j0j7&sourceid=chrome&ie=UTF-8,1,0,generated
47,1046,11/2/2020,13:45:53,Step 4. Create and Run your first Django project - Help | PyCharm,https://www.jetbrains.com/help/pycharm/creating-and-running-your-first-django-project.html#database-configure,2,0,link
48,1047,11/2/2020,13:45:51,Step 4. Create and Run your first Django project - Help | PyCharm,https://www.jetbrains.com/help/pycharm/creating-and-running-your-first-django-project.html#launch-server,1,0,link
